score;StudentId;ExamId
0;1;1
0;2;1
0;3;1
0;4;1
0;5;1
0;6;1
0;7;1
0;8;1
0;9;1
0;10;1
0;1;2
0;2;2
0;3;2
0;4;2
0;5;2
0;6;2
0;7;2
0;8;2
0;9;2
0;10;2
0;1;3
0;2;3
0;3;3
0;4;3
0;5;3
0;6;3
0;7;3
0;8;3
0;9;3
0;10;3
0;1;4
0;2;4
0;3;4
0;4;4
0;5;4
0;6;4
0;7;4
0;8;4
0;9;4
0;10;4
0;1;5
0;2;5
0;3;5
0;4;5
0;5;5
0;6;5
0;7;5
0;8;5
0;9;5
0;10;5
0;1;6
0;2;6
0;3;6
0;4;6
0;5;6
0;6;6
0;7;6
0;8;6
0;9;6
0;10;6
0;1;7
0;2;7
0;3;7
0;4;7
0;5;7
0;6;7
0;7;7
0;8;7
0;9;7
0;10;7
0;1;8
0;2;8
0;3;8
0;4;8
0;5;8
0;6;8
0;7;8
0;8;8
0;9;8
0;10;8
0;1;9
0;2;9
0;3;9
0;4;9
0;5;9
0;6;9
0;7;9
0;8;9
0;9;9
0;10;9
0;1;10
0;2;10
0;3;10
0;4;10
0;5;10
0;6;10
0;7;10
0;8;10
0;9;10
0;10;10
0;1;11
0;2;11
0;3;11
0;4;11
0;5;11
0;6;11
0;7;11
0;8;11
0;9;11
0;10;11
0;1;12
0;2;12
0;3;12
0;4;12
0;5;12
0;6;12
0;7;12
0;8;12
0;9;12
0;10;12
0;1;13
0;2;13
0;3;13
0;4;13
0;5;13
0;6;13
0;7;13
0;8;13
0;9;13
0;10;13
0;1;14
0;2;14
0;3;14
0;4;14
0;5;14
0;6;14
0;7;14
0;8;14
0;9;14
0;10;14
0;1;15
0;2;15
0;3;15
0;4;15
0;5;15
0;6;15
0;7;15
0;8;15
0;9;15
0;10;15
0;1;16
0;2;16
0;3;16
0;4;16
0;5;16
0;6;16
0;7;16
0;8;16
0;9;16
0;10;16
0;1;17
0;2;17
0;3;17
0;4;17
0;5;17
0;6;17
0;7;17
0;8;17
0;9;17
0;10;17
0;1;18
0;2;18
0;3;18
0;4;18
0;5;18
0;6;18
0;7;18
0;8;18
0;9;18
0;10;18
0;1;19
0;2;19
0;3;19
0;4;19
0;5;19
0;6;19
0;7;19
0;8;19
0;9;19
0;10;19
0;1;20
0;2;20
0;3;20
0;4;20
0;5;20
0;6;20
0;7;20
0;8;20
0;9;20
0;10;20
0;11;21
0;12;21
0;13;21
0;14;21
0;15;21
0;16;21
0;17;21
0;18;21
0;19;21
0;20;21
0;11;22
0;12;22
0;13;22
0;14;22
0;15;22
0;16;22
0;17;22
0;18;22
0;19;22
0;20;22
0;11;23
0;12;23
0;13;23
0;14;23
0;15;23
0;16;23
0;17;23
0;18;23
0;19;23
0;20;23
0;11;24
0;12;24
0;13;24
0;14;24
0;15;24
0;16;24
0;17;24
0;18;24
0;19;24
0;20;24
0;11;25
0;12;25
0;13;25
0;14;25
0;15;25
0;16;25
0;17;25
0;18;25
0;19;25
0;20;25
0;11;26
0;12;26
0;13;26
0;14;26
0;15;26
0;16;26
0;17;26
0;18;26
0;19;26
0;20;26
0;11;27
0;12;27
0;13;27
0;14;27
0;15;27
0;16;27
0;17;27
0;18;27
0;19;27
0;20;27
0;11;28
0;12;28
0;13;28
0;14;28
0;15;28
0;16;28
0;17;28
0;18;28
0;19;28
0;20;28
0;11;29
0;12;29
0;13;29
0;14;29
0;15;29
0;16;29
0;17;29
0;18;29
0;19;29
0;20;29
0;11;30
0;12;30
0;13;30
0;14;30
0;15;30
0;16;30
0;17;30
0;18;30
0;19;30
0;20;30
0;11;31
0;12;31
0;13;31
0;14;31
0;15;31
0;16;31
0;17;31
0;18;31
0;19;31
0;20;31
0;11;32
0;12;32
0;13;32
0;14;32
0;15;32
0;16;32
0;17;32
0;18;32
0;19;32
0;20;32
0;11;33
0;12;33
0;13;33
0;14;33
0;15;33
0;16;33
0;17;33
0;18;33
0;19;33
0;20;33
0;11;34
0;12;34
0;13;34
0;14;34
0;15;34
0;16;34
0;17;34
0;18;34
0;19;34
0;20;34
0;11;35
0;12;35
0;13;35
0;14;35
0;15;35
0;16;35
0;17;35
0;18;35
0;19;35
0;20;35
0;11;36
0;12;36
0;13;36
0;14;36
0;15;36
0;16;36
0;17;36
0;18;36
0;19;36
0;20;36
0;11;37
0;12;37
0;13;37
0;14;37
0;15;37
0;16;37
0;17;37
0;18;37
0;19;37
0;20;37
0;11;38
0;12;38
0;13;38
0;14;38
0;15;38
0;16;38
0;17;38
0;18;38
0;19;38
0;20;38
0;11;39
0;12;39
0;13;39
0;14;39
0;15;39
0;16;39
0;17;39
0;18;39
0;19;39
0;20;39
0;11;40
0;12;40
0;13;40
0;14;40
0;15;40
0;16;40
0;17;40
0;18;40
0;19;40
0;20;40
0;21;41
0;22;41
0;23;41
0;24;41
0;25;41
0;26;41
0;27;41
0;28;41
0;29;41
0;30;41
0;21;42
0;22;42
0;23;42
0;24;42
0;25;42
0;26;42
0;27;42
0;28;42
0;29;42
0;30;42
0;21;43
0;22;43
0;23;43
0;24;43
0;25;43
0;26;43
0;27;43
0;28;43
0;29;43
0;30;43
0;21;44
0;22;44
0;23;44
0;24;44
0;25;44
0;26;44
0;27;44
0;28;44
0;29;44
0;30;44
0;21;45
0;22;45
0;23;45
0;24;45
0;25;45
0;26;45
0;27;45
0;28;45
0;29;45
0;30;45
0;21;46
0;22;46
0;23;46
0;24;46
0;25;46
0;26;46
0;27;46
0;28;46
0;29;46
0;30;46
0;21;47
0;22;47
0;23;47
0;24;47
0;25;47
0;26;47
0;27;47
0;28;47
0;29;47
0;30;47
0;21;48
0;22;48
0;23;48
0;24;48
0;25;48
0;26;48
0;27;48
0;28;48
0;29;48
0;30;48
0;21;49
0;22;49
0;23;49
0;24;49
0;25;49
0;26;49
0;27;49
0;28;49
0;29;49
0;30;49
0;21;50
0;22;50
0;23;50
0;24;50
0;25;50
0;26;50
0;27;50
0;28;50
0;29;50
0;30;50
0;21;51
0;22;51
0;23;51
0;24;51
0;25;51
0;26;51
0;27;51
0;28;51
0;29;51
0;30;51
0;21;52
0;22;52
0;23;52
0;24;52
0;25;52
0;26;52
0;27;52
0;28;52
0;29;52
0;30;52
0;21;53
0;22;53
0;23;53
0;24;53
0;25;53
0;26;53
0;27;53
0;28;53
0;29;53
0;30;53
0;21;54
0;22;54
0;23;54
0;24;54
0;25;54
0;26;54
0;27;54
0;28;54
0;29;54
0;30;54
0;21;55
0;22;55
0;23;55
0;24;55
0;25;55
0;26;55
0;27;55
0;28;55
0;29;55
0;30;55
0;21;56
0;22;56
0;23;56
0;24;56
0;25;56
0;26;56
0;27;56
0;28;56
0;29;56
0;30;56
0;21;57
0;22;57
0;23;57
0;24;57
0;25;57
0;26;57
0;27;57
0;28;57
0;29;57
0;30;57
0;21;58
0;22;58
0;23;58
0;24;58
0;25;58
0;26;58
0;27;58
0;28;58
0;29;58
0;30;58
0;21;59
0;22;59
0;23;59
0;24;59
0;25;59
0;26;59
0;27;59
0;28;59
0;29;59
0;30;59
0;21;60
0;22;60
0;23;60
0;24;60
0;25;60
0;26;60
0;27;60
0;28;60
0;29;60
0;30;60
